post_id,post_date,post_time,brand,platform,post_type,theme,campaign,status,content_folder,asset_filename,caption_filename,notes,approval_status,draft_payload_file,asset_mode,image_alt_text,platform_post_format,platform_post_id,posted_at,last_publish_error
jakoma_2026-03-25_linkedin_001,2026-03-25,18:43,jakoma,linkedin,text,offer_launch,automation_launch,posted,content/jakoma/2026-03-25,,jakoma_2026-03-25_linkedin_text_001.txt,Launch post,approved,/mnt/data/socials_scheduler_repo/socials_scheduler/content/jakoma/2026-03-25/generated/jakoma_2026-03-25_linkedin_001_draft.json,,,,,,
jakoma_2026-03-30_linkedin_001,2026-03-30,10:00,jakoma,linkedin,text,repeatability_test,automation_launch,posted,content/jakoma/2026-03-30,,jakoma_2026-03-30_linkedin_text_001.txt,Second live LinkedIn test,approved,,text,,,urn:li:share:7443270733222313984,2026-03-27T12:20:32+00:00,
jakoma_2026-03-30_linkedin_image_001,2026-03-30,14:00,jakoma,linkedin,image,image_test,automation_launch,posted,content/jakoma/2026-03-30,BetterSystems.png,jakoma_2026-03-30_linkedin_image_001.txt,First live single-image LinkedIn test,approved,,single_image,,,urn:li:share:7443278215105802240,2026-03-27T12:50:16+00:00,
jakoma_2026-03-31_linkedin_001,2026-03-31,10:00,jakoma,linkedin,text,internal_pilot,automation_launch,posted,content/jakoma/2026-03-31,,jakoma_2026-03-31_linkedin_text_001.txt,Internal pilot text post,approved,,text,,,urn:li:share:7443351631796064256,2026-03-27T17:42:00+00:00,
jakoma_2026-03-31_linkedin_002,2026-03-31,10:00,jakoma,linkedin,text,internal_pilot,automation_launch,failed,content/jakoma/2026-03-31,,jakoma_2026-03-31_linkedin_text_002.txt,Internal pilot text post,approved,,,,,,,Text file not found: C:\Users\Tracy.Avery\OneDrive\_Jakoma\3. Social Automation\socials_scheduler\content\jakoma\2026-03-31\captions\jakoma_2026-03-31_linkedin_text_002.txt
jakoma_2026-04-01_linkedin_001,2026-04-01,10:00,jakoma,linkedin,text,internal_pilot,automation_launch,queued,content/jakoma/2026-04-01,,jakoma_2026-04-01_linkedin_text_001.txt,Internal pilot text post,approved,,,,,,,
jakoma_2026-04-04_linkedin_image_001,2026-04-04,10:00,jakoma,linkedin,image,internal_pilot,automation_launch,posted,content/jakoma/2026-04-04,BetterSystems.png,jakoma_2026-04-04_linkedin_image_001.txt,Fresh internal pilot image post,approved,,single_image,,,urn:li:share:7443385648423550977,2026-03-27T19:57:09+00:00,
